survived,sex,age,class
0,male,22,Third
1,female,38,First
1,female,26,Third
1,female,35,First
0,male,28,Third
0,male,2,Third
1,female,27,Third
1,female,14,Second
1,female,4,Third
0,male,20,Third
0,male,39,Third
0,female,14,Third
0,male,2,Third
1,male,28,Second
0,female,31,Third
1,female,28,Third
0,male,35,Second
1,male,28,First
1,female,38,Third
0,male,28,Third
0,male,19,First
1,female,28,Third
0,male,28,Third
0,male,40,First
1,female,28,First
1,female,28,Third
0,male,66,Second
0,male,28,First
0,male,42,First
1,male,28,Third
1,female,14,Third
0,female,40,Third
0,female,27,Second
0,male,28,Third
1,female,3,Second
0,male,28,Third
0,male,28,Third
0,male,28,Third
0,female,18,Third
0,male,7,Third
1,female,49,First
1,female,29,Second
0,male,65,First
1,male,28,First
1,female,21,Second
0,male,28.5,Third
0,male,11,Third
0,male,22,Third
1,female,38,First
0,male,45,First
0,male,4,Third
1,male,28,Third
0,male,19,Third
1,female,17,Third
0,male,26,Third
0,male,32,Second
0,male,21,Second
1,male,32,Third
0,male,25,Third
0,male,28,Third
0,male,28,Third
1,male,0.83,Second
1,female,30,Third
0,male,22,Third
1,male,29,Third
1,female,28,Third
0,male,28,First
0,male,16,Third
0,male,28,Third
1,female,23,First
0,male,24,Third
0,male,46,First
0,male,59,Third
0,male,28,Third
0,male,71,First
1,male,23,First
1,female,34,Second
0,male,34,Second
0,female,28,Third
0,male,28,Third
0,male,21,First
0,male,33,Third
0,male,37,Third
0,male,28,Third
1,male,28,Third
1,female,28,Third
0,male,47,First
0,female,14.5,Third
0,male,22,Third
0,female,17,Third
0,male,21,Third
0,male,70.5,Third
0,male,29,Second
0,male,24,First
0,male,28,Third
0,male,32.5,Second
1,female,32.5,Second
0,male,28,Third
1,male,24,Third
0,male,45,Third
0,male,20,Third
0,female,47,Third
0,male,23,Second
1,female,19,First
0,male,37,First
0,male,16,Third
0,male,24,First
0,female,28,Third
1,female,22,Third
0,male,19,Third
0,male,18,Second
0,female,9,Third
0,male,51,Second
0,male,55.5,Third
0,male,40.5,Third
0,male,28,Third
0,male,51,First
1,female,16,Third
0,male,28,Third
0,male,28,Third
0,male,44,Third
0,male,26,Third
0,male,17,Third
0,male,1,Third
1,female,28,First
0,male,28,Third
0,male,4,Third
0,male,18,Third
0,male,28,Third
0,female,50,First
0,male,30,Second
0,male,36,Third
0,female,28,Third
0,male,28,Second
0,male,9,Third
1,female,4,Third
1,female,28,Third
1,male,45,First
0,male,36,Third
1,female,32,Second
1,female,19,Third
1,male,3,Second
1,female,44,First
1,female,58,First
0,male,28,Third
1,female,28,Third
0,female,24,Second
0,male,28,Third
0,male,28,Third
0,male,34,Third
0,female,2,Third
0,male,32,Third
1,male,26,Third
1,female,16,Third
1,male,40,First
1,female,35,Second
0,male,22,Third
0,male,28,Third
1,female,31,First
1,female,27,Third
0,male,42,Second
0,male,30,Second
1,male,16,Third
0,male,51,Third
0,male,22,Third
1,male,19,Second
0,male,20.5,Third
0,male,18,Second
0,female,28,Third
1,female,35,First
0,male,29,Third
0,male,59,Second
0,female,28,Third
0,male,44,Second
0,male,19,Second
0,male,33,Second
0,female,28,Third
1,female,28,Third
0,male,22,Third
0,male,30,Third
0,male,44,First
1,female,24,Second
0,male,28,Third
0,female,29,Third
0,male,30,Third
0,female,41,Third
1,female,28,First
1,female,35,First
1,female,50,Second
0,male,28,Third
1,male,3,Third
0,male,40,First
0,female,28,Third
0,male,36,Second
0,male,16,Third
1,male,25,Third
1,female,58,First
1,female,35,First
0,male,28,First
1,male,25,Third
1,female,41,Second
0,male,37,First
1,female,28,Third
1,female,63,First
0,female,45,Third
0,male,28,Second
0,male,7,Third
1,female,35,Third
0,male,28,Third
0,male,16,Third
0,male,28,First
1,female,26,First
0,male,36,Second
0,male,24,Third
1,male,28,First
1,female,50,First
1,female,28,Third
0,male,19,Third
1,female,28,Second
0,male,28,Third
1,female,28,First
1,female,17,First
0,male,30,Second
1,female,30,First
1,female,24,First
1,female,18,First
0,female,26,Second
0,male,28,Third
0,male,43,Second
1,female,24,Second
1,female,31,First
1,female,40,First
0,male,22,Third
0,male,27,Third
1,female,22,Second
0,male,28,Third
1,female,36,First
0,male,61,Third
1,female,31,Third
1,female,28,Third
0,male,38,First
1,female,28,First
0,male,28,Third
0,male,29,First
1,male,45,Third
0,male,45,First
0,male,28,Second
0,male,25,Second
0,male,36,Second
1,female,24,Second
1,female,40,Second
1,female,28,Third
0,male,15,Third
0,male,25,Third
0,male,28,Third
0,male,28,Third
1,female,22,First
0,female,38,Second
1,female,28,Third
1,female,28,Third
0,male,40,Third
0,male,29,Second
0,female,45,Third
0,male,35,Third
0,male,28,Third
1,female,60,First
1,female,28,Third
1,female,28,Third
1,female,24,First
0,male,18,Third
0,male,19,Third
1,female,28,First
0,male,27,First
0,male,19,Third
1,female,42,First
0,male,32,Third
0,male,28,Third
0,male,18,Second
0,male,1,Third
0,male,28,Third
1,female,17,Second
1,male,36,First
1,male,21,Third
1,female,23,First
1,female,24,Third
0,male,22,Third
0,female,31,Third
0,male,46,Second
0,male,23,Second
1,male,39,Third
0,male,26,Third
0,male,28,Third
0,male,34,Second
1,male,3,Second
0,male,21,Third
0,female,28,Third
0,male,28,Third
0,male,28,Third
0,male,28,Second
1,male,44,Third
0,female,28,Third
1,female,34,Second
1,female,18,Second
0,male,30,Second
0,male,28,Third
0,male,21,Third
0,male,18,Third
1,female,19,Second
0,male,28,Third
1,male,32,Third
1,male,28,First
1,female,28,Third
1,female,42,Second
0,male,17,Third
0,male,50,First
1,female,14,First
1,female,24,Second
0,male,64,First
0,male,31,Second
1,female,45,Second
0,male,20,Third
1,female,28,Second
1,male,28,Third
1,male,34,First
1,female,5,Third
1,male,52,First
0,male,36,Second
0,male,30,First
1,male,49,First
1,male,29,Third
0,male,65,First
1,female,28,First
1,male,48,First
0,male,34,Third
0,male,47,First
0,male,28,Third
0,male,38,Third
0,male,56,First
0,male,28,Third
1,female,0.75,Third
0,male,28,Third
1,female,33,Second
1,female,23,Second
0,male,28,First
0,male,34,Second
0,male,29,Third
1,female,2,Third
0,male,9,Third
0,male,28,Second
1,female,63,Third
1,male,25,First
0,female,28,Third
1,female,35,First
0,male,58,First
1,male,9,Third
0,male,28,Third
0,male,71,First
0,male,21,Third
0,female,25,First
0,male,17,Third
0,female,21,Third
0,female,37,Third
0,male,18,First
1,female,33,Second
1,male,28,First
1,male,26,Third
1,female,54,First
0,male,24,Third
0,male,47,First
1,female,34,Second
1,female,36,Second
0,male,32,Third
1,female,30,First
0,male,22,Third
1,female,44,First
0,male,28,Third
0,male,40.5,Third
1,female,50,Second
0,male,28,First
0,male,23,Second
1,female,2,Second
0,male,17,Third
1,female,28,Third
0,female,30,Third
1,female,7,Second
0,male,45,First
1,female,30,First
1,female,22,First
1,female,36,First
0,female,9,Third
0,female,11,Third
0,male,50,First
1,female,19,Second
1,male,28,Second
0,male,33,Third
1,male,17,First
0,male,27,Second
0,male,28,Third
